Price,Close,High,Low,Open,Volume,company_name
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-04-12,274.94683837890625,283.4079337629206,273.4164244465442,281.9457616678411,30966700,MICROSOFT
2022-04-13,280.3666687011719,281.3024506732569,274.2060420766694,275.6000023217637,21907200,MICROSOFT
2022-04-14,272.7730712890625,281.0392284284024,272.27595299417413,280.82477532638273,28221600,MICROSOFT
2022-04-18,273.4457702636719,275.3368492693747,271.320753153504,271.87638589958726,20778000,MICROSOFT
2022-04-19,278.10516357421875,278.9532485087538,271.3889341815737,272.3344734724712,22297700,MICROSOFT
2022-04-20,279.1383972167969,282.3941933852175,278.17337311629467,282.1017411061781,22906700,MICROSOFT
2022-04-21,273.7283630371094,285.9033732252405,272.9972769858195,281.3024038192042,29454600,MICROSOFT
2022-04-22,267.1192932128906,276.05804997850277,266.48569137734324,274.57636350378834,29405800,MICROSOFT
2022-04-25,273.64068603515625,274.0208353820041,263.94159742532975,266.39806604300793,35678900,MICROSOFT
2022-04-26,263.40545654296875,271.34016243652076,263.1910034243338,270.5018646305653,46518400,MICROSOFT
2022-04-27,276.0776062011719,283.63216251371057,272.11999585469886,274.9858557260027,63477700,MICROSOFT
2022-04-28,282.3259582519531,283.6419191689695,274.36198065629725,277.9979262014816,33646600,MICROSOFT
2022-04-29,270.5213317871094,282.5696457327582,269.52706543762076,281.3316542777626,37073900,MICROSOFT
2022-05-02,277.2960510253906,277.7541994484891,269.25410491106345,270.7065195990292,35151100,MICROSOFT
2022-05-03,274.6739807128906,276.9647236114233,273.0850818141642,276.79899763664605,25978600,MICROSOFT
2022-05-04,282.66717529296875,283.54447277162893,269.75131926588415,275.46352508638273,33599300,MICROSOFT
2022-05-05,270.35565185546875,279.12868525425324,267.42155005496926,278.33911462820026,43260400,MICROSOFT
2022-05-06,267.80169677734375,272.2076978652137,264.42893181498096,267.8796661979223,37780300,MICROSOFT
2022-05-09,257.90765380859375,265.4914520308154,256.67944945375484,263.2494666744855,47726000,MICROSOFT
2022-05-10,262.70361328125,266.84643464097286,258.38533839168707,264.8383871382154,39336400,MICROSOFT
2022-05-11,253.97927856445312,264.51666298143766,252.76080183031553,258.9799118410286,48975900,MICROSOFT
2022-05-12,248.91043090820312,253.32618936215562,243.71484437678356,251.19141576375804,51033800,MICROSOFT
2022-05-13,254.534912109375,256.40650546957653,248.9104341914434,250.859996973835,34925100,MICROSOFT
2022-05-16,254.9053497314453,259.1164127441504,249.32959863535496,253.40417796573698,32550900,MICROSOFT
2022-05-17,260.0912170410156,261.5631169343919,255.8411540674959,259.399100730676,28828800,MICROSOFT
2022-05-18,248.24932861328125,257.55086612903364,246.9693931124063,256.96462907264123,31356000,MICROSOFT
2022-05-19,247.33087158203125,251.75692958558693,246.09979178304374,248.0734255214581,32692300,MICROSOFT
2022-05-20,246.76422119140625,252.60700218610816,240.78466843805458,251.3368168478214,39199300,MICROSOFT
2022-05-23,254.6685791015625,255.49907920391797,247.6142629878309,249.62700248301093,33175400,MICROSOFT
2022-05-24,253.66220092773438,255.33295127139317,247.68264827273939,251.97192028094892,29043900,MICROSOFT
2022-05-25,256.49566650390625,258.50839113022187,251.229372012258,252.2162040206806,28547900,MICROSOFT
2022-05-26,259.7980651855469,260.98028950347117,255.4306424883963,256.2513624145197,25002100,MICROSOFT
2022-05-27,266.9696044921875,267.06731562839224,261.41995783588675,262.3188585448169,26910800,MICROSOFT
2022-05-31,265.63104248046875,268.4644864637891,262.75850808008653,266.27590018435575,37827700,MICROSOFT
2022-06-01,266.1684875488281,271.3175402469702,263.8430992924874,268.8846905955963,25292200,MICROSOFT
2022-06-02,268.27886962890625,268.34727041092106,255.59675637137263,258.3813599596805,44008200,MICROSOFT
2022-06-03,263.8235168457031,267.17482718772595,262.25047775674227,264.1068702171186,28059000,MICROSOFT
2022-06-06,262.5826110839844,267.88799398621154,261.0877233652008,265.8166494155831,22400300,MICROSOFT
2022-06-07,266.24664306640625,266.862190534899,259.83718498016987,260.52113323788575,22860700,MICROSOFT
2022-06-08,264.20458984375,266.7351505141469,263.4229304866885,265.4747453002484,17372300,MICROSOFT
2022-06-09,258.7135925292969,266.45182722597934,258.5572606402289,261.6349682995289,26439700,MICROSOFT
2022-06-10,247.18434143066406,254.60014614141426,246.73489104071965,254.60014614141426,31422800,MICROSOFT
2022-06-13,236.70059204101562,243.3054725413383,235.9873483160347,239.4851959678667,46135800,MICROSOFT
2022-06-14,238.87940979003906,240.10072459035263,235.96778457187938,238.26386235992007,28651500,MICROSOFT
2022-06-15,245.98255920410156,249.44133097278552,240.76510609798785,242.61173342919113,33111700,MICROSOFT
2022-06-16,239.34840393066406,241.7421780918866,237.44315571698203,240.33522097758944,33169200,MICROSOFT
2022-06-17,241.9668731689453,244.75147677232087,238.42995041110007,239.08457333039794,43084800,MICROSOFT
2022-06-21,247.91714477539062,248.90396178868318,243.7842046658451,244.51699356218077,29928300,MICROSOFT
2022-06-22,247.32115173339844,251.26844975050005,244.62447895315725,246.1096020126648,25939900,MICROSOFT
2022-06-23,252.91961669921875,253.41792266280578,247.80965482657095,249.70513771941606,25861400,MICROSOFT
2022-06-24,261.5567932128906,261.8303665392892,255.7140123924243,255.80194348120352,33923200,MICROSOFT
2022-06-27,258.811279296875,262.1429998718292,257.238210310739,262.0550687832511,24615100,MICROSOFT
2022-06-28,250.59425354003906,260.78489654166776,250.43792167575154,257.9221419564602,27295500,MICROSOFT
2022-06-29,254.28753662109375,255.95828701853867,249.89078816963055,251.678794932752,20069800,MICROSOFT
2022-06-30,250.9362335205078,253.57428565271542,247.09642660004045,251.15118613733407,31730900,MICROSOFT
2022-07-01,253.62310791015625,253.80875014835922,248.7671738970016,250.50633991832885,22837700,MICROSOFT
2022-07-05,256.81805419921875,256.9450756953764,248.89416404155705,250.28157571455267,22941000,MICROSOFT
2022-07-06,260.1009521484375,261.8401031652253,256.3783871640925,257.6974130616981,23824400,MICROSOFT
2022-07-07,262.24072265625,262.8855804850251,258.9382824803674,259.0359936333195,20859900,MICROSOFT
2022-07-08,261.5177001953125,261.9476053921388,257.2479884069412,258.71356617323374,19658800,MICROSOFT
2022-07-11,258.44000244140625,260.4136365057184,256.16345486227567,259.5538260801544,19455200,MICROSOFT
2022-07-12,247.84873962402344,259.8371699313609,246.25614034660703,259.77854920606694,35868500,MICROSOFT
2022-07-13,246.92054748535156,247.73150231895372,242.41633781014775,244.44860746990463,29497400,MICROSOFT
2022-07-14,248.24932861328125,249.28500115876392,240.29612738205486,244.81988208668008,25102800,MICROSOFT
2022-07-15,250.82875061035156,254.39498387786978,248.9235024960798,249.85169876625037,29774100,MICROSOFT
2022-07-18,248.4154510498047,254.8542196346372,247.48725470607403,253.78923661823706,20975000,MICROSOFT
2022-07-19,253.57424926757812,253.75989149262034,247.85849034611635,251.66898635467277,25012600,MICROSOFT
2022-07-20,256.25140380859375,258.79174483824187,252.96852357379373,253.93579546132244,22788300,MICROSOFT
2022-07-21,258.7624206542969,258.8112911394695,251.1316477290945,253.82832050457455,22404700,MICROSOFT
2022-07-22,254.38522338867188,259.24117262013067,253.12484788124044,259.1532415254674,21881300,MICROSOFT
2022-07-25,252.8903045654297,255.49904599402382,250.91667066137012,255.01052009346162,21056000,MICROSOFT
2022-07-26,246.11935424804688,253.91623871980474,243.8428365645717,253.89667859982464,39348000,MICROSOFT
2022-07-27,262.5729064941406,263.85284204135934,252.9098791339182,255.1668665380829,45994000,MICROSOFT
2022-07-28,270.0668640136719,271.4640407887312,261.7228341456488,263.5596961126716,33459300,MICROSOFT
2022-07-29,274.29754638671875,275.528641347026,270.2818773091578,271.327330019347,32152800,MICROSOFT
2022-08-01,271.6301574707031,274.82510585209405,269.50994212455083,271.4445152590342,21539600,MICROSOFT
2022-08-02,268.5134582519531,271.51301527660706,266.1294488049544,269.6663725436415,22754200,MICROSOFT
2022-08-03,275.9878234863281,276.99418564890556,270.26228442614376,270.4088660501321,23518900,MICROSOFT
2022-08-04,277.1407775878906,277.2873294158462,273.74065591028534,275.33322553041455,18098700,MICROSOFT
2022-08-05,276.4177551269531,277.14076398755924,272.28481487787076,272.74403046110217,16774600,MICROSOFT
2022-08-08,273.88720703125,279.3587038597867,272.91015509105625,277.5315916851269,18739200,MICROSOFT
2022-08-09,275.82171630859375,276.5838155339825,271.23934089655916,273.2227847117655,23405200,MICROSOFT
2022-08-10,282.52435302734375,283.1594308484471,280.35529644740274,281.55708111239034,24687800,MICROSOFT
2022-08-11,280.43341064453125,284.52726027253226,279.9351344778462,284.17553591957807,20065900,MICROSOFT
2022-08-12,285.2112731933594,285.2112731933594,280.35532321512545,281.8599917510288,22619700,MICROSOFT
2022-08-15,286.73541259765625,287.42911107438584,283.4525028196031,284.32209329350565,18085700,MICROSOFT
2022-08-16,285.9928894042969,287.2923852930113,283.75546173926654,285.2894107547985,18102900,MICROSOFT
2022-08-17,285.2389221191406,287.22654620657715,283.4275334962736,283.6918866931279,18253400,MICROSOFT
2022-08-18,284.1129150390625,285.81658418043264,283.04564174048915,284.13248679589566,17186200,MICROSOFT
2022-08-19,280.1767883300781,283.21208370807085,279.5991078037717,282.8693837672335,20570000,MICROSOFT
2022-08-22,271.9521484375,276.5638218680338,271.4332130398437,276.1917493413098,25061100,MICROSOFT
2022-08-23,270.6695556640625,273.0390235168399,269.65125640109494,270.6695556640625,17527400,MICROSOFT
2022-08-24,270.0331115722656,271.44305510856765,269.3672833219495,269.6610389889987,18137000,MICROSOFT
2022-08-25,273.0292053222656,273.195639956881,268.78957434075147,271.54091514615766,16583400,MICROSOFT
2022-08-26,262.4938049316406,274.48809473855994,262.3861154474646,273.2543867966453,27549300,MICROSOFT
2022-08-29,259.6935119628906,261.8181979316552,258.342313758695,260.3005650968234,20338500,MICROSOFT
2022-08-30,257.4807434082031,261.4755639993198,255.2189649319629,261.103521250784,22767100,MICROSOFT
2022-08-31,256.01202392578125,261.53427789568053,255.87493197122282,259.85021020629233,24791800,MICROSOFT
2022-09-01,254.96434020996094,255.44413214790004,250.07851226225628,253.46627900247665,23263400,MICROSOFT
2022-09-02,250.7149200439453,259.2137238025939,249.1581137933587,256.23720323972685,22855400,MICROSOFT
2022-09-06,247.96359252929688,252.44797525069836,246.68094020616354,250.8520254014025,21328200,MICROSOFT
2022-09-07,252.70254516601562,253.42708861317715,247.93420784755494,249.3833096821503,24126700,MICROSOFT
2022-09-08,253.1235809326172,254.99371472146694,249.47144602800012,252.1346842329514,20319900,MICROSOFT
2022-09-09,258.9395446777344,259.69349050416275,254.8566077082185,255.06221571518003,22084700,MICROSOFT
2022-09-12,261.0838623046875,261.867180794142,259.62497457136203,260.2320277253486,18747700,MICROSOFT
2022-09-13,246.72988891601562,254.96432464482666,246.33822967440065,253.43689095320934,33353300,MICROSOFT
2022-09-14,246.955078125,248.92311534672746,244.6443409420498,248.23773036455412,23913000,MICROSOFT
2022-09-15,240.2578582763672,246.15218396913423,238.9262467864511,244.55621930906506,31530900,MICROSOFT
2022-09-16,239.63124084472656,240.17954887293567,237.00717607223177,239.16124972888457,39791800,MICROSOFT
2022-09-19,239.4158172607422,240.0228704060289,235.82242778090065,237.40860661356453,26826900,MICROSOFT
2022-09-20,237.38900756835938,238.42687835254904,234.63766692038863,237.01694998589443,26660300,MICROSOFT
2022-09-21,233.9620819091797,242.49027328915574,233.9131226363591,239.17103777962444,28625600,MICROSOFT
2022-09-22,235.94970703125,238.76959382847815,232.61089974845348,232.90462550627097,31061200,MICROSOFT
2022-09-23,232.95359802246094,236.09659827223658,230.29037477151613,234.53977696593785,34176000,MICROSOFT
2022-09-26,232.493408203125,236.40991123435145,231.95488604827668,232.10176387611173,27694200,MICROSOFT
2022-09-27,231.47512817382812,236.7526155062125,229.6049943569396,234.97059942345413,27018700,MICROSOFT
2022-09-28,236.03785705566406,237.27155015003342,229.83018830583202,231.86677170466896,29029700,MICROSOFT
2022-09-29,232.54237365722656,234.94122883953057,229.5168785708888,233.90335789912527,27484200,MICROSOFT
2022-09-30,228.0384063720703,235.51892733023473,227.8719567690287,233.31589414954172,35694800,MICROSOFT
2022-10-03,235.7147216796875,236.5665562407545,229.76163574998006,230.49598001028534,28880400,MICROSOFT
2022-10-04,243.684814453125,245.13391633829488,239.86621517346092,239.97391960048338,34888400,MICROSOFT
2022-10-05,243.99810791015625,245.34930608205255,239.00457608145862,240.85512295414316,20347100,MICROSOFT
2022-10-06,241.63845825195312,245.1143579543447,240.94328727563956,242.75466110626996,20239900,MICROSOFT
2022-10-07,229.3504180908203,236.28263010395378,228.30274638054547,235.8713841468346,37769600,MICROSOFT
2022-10-10,224.46458435058594,229.66373983539455,221.99718320956242,228.1852652907987,29743600,MICROSOFT
2022-10-11,220.7047576904297,224.2785610061986,219.4318911189659,222.868617415671,30474000,MICROSOFT
2022-10-12,221.03761291503906,223.1035686101061,219.2849845956559,220.69491296541872,21903900,MICROSOFT
2022-10-13,229.3504180908203,231.17159255986616,214.55582760214386,215.26079932824376,42551800,MICROSOFT
2022-10-14,223.78897094726562,232.2877899192671,223.57356209482342,230.62326425216398,30198600,MICROSOFT
2022-10-17,232.5717315673828,233.9718891188807,230.2316216892533,230.89743494920083,28142300,MICROSOFT
2022-10-18,233.521484375,238.83812986679797,230.45681608847852,238.16254566937874,26329600,MICROSOFT
2022-10-19,231.5436553955078,234.60832380326266,229.3993675920163,232.0919634303183,19985700,MICROSOFT
2022-10-20,231.22052001953125,236.27281204109534,229.96724036243702,230.84846242588492,21811000,MICROSOFT
2022-10-21,237.06593322753906,237.9275687099277,229.60499943406603,229.83999500388313,26299700,MICROSOFT
2022-10-24,242.08880615234375,242.66648667438295,236.26301178304126,238.6716524079344,24911200,MICROSOFT
2022-10-25,245.4276580810547,245.7997156975737,240.6984790313292,242.0986216482708,34775500,MICROSOFT
